"","title","authors","average_rating","isbn13","language_code","num_pages","ratings_count","text_reviews_count","publication_date","publisher","publication_year","page_range"
"1409","Shopgirl","Steve Martin",3.43,"9780786866588","eng",130,1229,147,2000-09-11,"Hyperio",2000,"51-150"
"1410","Catch That Pass!","Matt Christopher",3.91,"9780316139243","eng",130,290,23,1989-09-01,"Little  Brown Books for Young Readers",1989,"51-150"
"1411","The Brief and Frightening Reign of Phil","George Saunders",3.7,"9781594481529","eng",130,5157,553,2005-09-06,"Riverhead Books",2005,"51-150"
"1412","The Mark of the Crown (Star Wars: Jedi Apprentice  #4)","Jude Watson",3.73,"9780590519342","eng",131,2319,63,1999-10-01,"Scholastic Inc.",1999,"51-150"
"1413","The Loftier Way: Tales from the Ancient American Frontier","Blaine M. Yorgason/Brenton G. Yorgason",3.78,"9780877477853","eng",131,9,2,1985-12-28,"Deseret Book Company",1985,"51-150"
"1414","Hegel: A Very Short Introduction","Peter Singer",3.86,"9780192801975","eng",131,1141,122,2001-12-06,"Oxford University Press",2001,"51-150"
"1415","The Actor in You: Sixteen Simple Steps to Understanding the Art of Acting","Robert Benedetti",3.65,"9780205359219","en-US",131,11,0,2002-03-04,"Allyn & Bacon",2002,"51-150"
"1416","Gunslinger and Nine Other Action-Packed Stories of the Wild West","Ed Gorman/Bill Pronzini",4.25,"9781569800362","eng",131,4,1,1995-03-01,"Barricade Books",1995,"51-150"
"1417","The Broken Wings","Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris",3.92,"9780806501901","eng",132,6432,517,2003-03-03,"Citadel",2003,"51-150"
"1418","Lysistrata","Aristophanes/Sarah Ruden",3.85,"9780872206038","eng",132,30604,552,2003-03-01,"Hackett Publishing Company  Inc.",2003,"51-150"
"1419","Heart of Darkness","Joseph Conrad",3.42,"9781592246465","eng",132,92,11,2003-05-01,"Wildside Press",2003,"51-150"
"1420","Siddhartha","Hermann Hesse/Joachim Neugroschel/Ralph Freedman",4.02,"9780142437186","eng",132,1104,114,2002-12-31,"Penguin Books",2002,"51-150"
"1421","An Unfortunate Woman","Richard Brautigan/Taylan Taftaf",3.78,"9780312277109","eng",132,1349,77,2001-07-10,"St. Martin's Griffin",2001,"51-150"
"1422","Siddhartha","Hermann Hesse",4.02,"9780613572743","eng",132,514,40,1993-02-02,"Turtleback Books",1993,"51-150"
"1423","Shop in the Name of Love (The Cheetah Girls #2)","Deborah Gregory/Paul Mantell",3.64,"9780786813858","eng",132,54,5,1999-09-15,"Jump at the Sun",1999,"51-150"
"1424","The World's Last Night: And Other Essays","C.S. Lewis",4.18,"9780156027717","en-GB",132,1097,117,2002-11-04,"Mariner Books",2002,"51-150"
"1425","Last Night: Stories","James Salter",3.9,"9781400078417","eng",132,1825,186,2006-03-14,"Vintage",2006,"51-150"
"1426","The Choice: A Fable of Free Trade and Protectionism","Russell Roberts/Russ Roberts",3.75,"9780131433540","eng",132,350,31,2006-09-01,"Pearson",2006,"51-150"
"1427","The Dream Stealer","Gregory Maguire/Diana Bryan",3.64,"9780618181889","eng",132,433,56,2002-10-21,"Clarion Books",2002,"51-150"
"1428","Gabriel García Márquez: One Hundred Years of Solitude","Michael  Wood",4.54,"9780521316927","eng",132,3604,78,1990-05-31,"Cambridge University Press",1990,"51-150"
"1429","Wookiee Cookies: A Star Wars Cookbook","Robin  Davis/Frankie Frankeny",3.93,"9780811821841","eng",132,952,57,1998-09-01,"Chronicle Books",1998,"51-150"
"1430","Drop The Rock: Removing Character Defects - Steps Six and Seven","Bill Pittman/Todd W. Hall/Sara S./Todd W.",4.44,"9781592851614","en-US",132,955,41,2005-02-11,"Hazelden Publishing",2005,"51-150"
"1431","Gift from the Sea","Anne Morrow Lindbergh",4.17,"9780679406839","en-US",132,1372,187,1991-10-08,"Pantheon Books",1991,"51-150"
"1432","Pedro Páramo","Juan Rulfo",4.05,"9789685208550","spa",132,1386,209,2009-12-01,"Editorial RM",2009,"51-150"
"1433","Pedro Páramo","Juan Rulfo",4.05,"9783518014349","ger",132,450,32,1999-04-01,"Suhrkamp",1999,"51-150"
"1434","Natural Theology: Comprising Nature & Grace by Professor Dr Emil Brunner & the Reply No! by Dr Karl Barth","Karl Barth/Emil Brunner/Peter Fraenkel",3.72,"9781592441129","en-GB",132,92,11,2002-12-01,"Wipf & Stock Publishers",2002,"51-150"
"1435","The Christmas Shoes (Christmas Hope #1)","Donna VanLiere",4.23,"9780312289515","eng",132,32701,967,2001-11-09,"St. Martin's Press",2001,"51-150"
"1436","Harm's Way: Lust & Madness & Murder & Mayhem","Joel-Peter Witkin/Stanley B. Burns",4.54,"9780944092286","eng",132,58,3,1994-10-01,"Twin Palms Publishers",1994,"51-150"
"1437","Brian's Winter","Gary Paulsen",4.01,"9780385321983","en-US",133,76,12,1996-01-01,"Delacorte Books for Young Readers",1996,"51-150"
"1438","Very Far Away from Anywhere Else","Ursula K. Le Guin",3.91,"9780152052089","en-US",133,1756,176,2004-10-01,"HMH Books for Young Readers",2004,"51-150"
"1439","Transmetropolitan  Vol. 4: The New Scum","Warren Ellis/Darick Robertson/Rodney Ramos/Keith Akin",4.39,"9781563896279","eng",133,13331,146,2000-09-01,"Vertigo",2000,"51-150"
"1440","Holy Cows and Hog Heaven: The Food Buyer's Guide to Farm Friendly Food","Joel Salatin/Michael Pollan",4.01,"9780963810946","eng",134,292,35,2005-02-19,"Polyface",2005,"51-150"
"1441","Holidays on Ice","David Sedaris",3.92,"9780316779234","eng",134,3590,251,1998-11-01,"Back Bay",1998,"51-150"
"1442","Puzzle Pack: The Witch of Blackbird Pond","Mary B. Collins",1,"9781583377826","eng",134,2,0,2005-08-15,"Teacher's Pet Publications  Inc.",2005,"51-150"
"1443","Raise High the Roof Beam  Carpenters and Seymour: an Introduction","J.D. Salinger",4.11,"9780140237511","eng",134,251,19,1998-10-03,"Hamish Hamilton",1998,"51-150"
"1444","The Origin of Species","Charles Darwin/Philip Appleman",3.98,"9780393978674","en-US",134,33,3,2002-03-15,"W.W. Norton & Company",2002,"51-150"
"1445","Nausicaä of the Valley of the Wind  Vol. 4 (Nausicaä of the Valley of the Wind  #4)","Hayao Miyazaki/David Lewis/Toren Smith/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers",4.59,"9781591163527","eng",134,1956,38,2004-06-02,"VIZ Media",2004,"51-150"
"1446","Relato de Um Náufrago","Gabriel García Márquez/Remy Gorga Filho",3.78,"9788501011206","por",134,43,2,1995-04-15,"Record",1995,"51-150"
"1447","The Cricket in Times Square","George Selden/Garth Williams",4.02,"9780440228899","eng",134,55747,1374,1999-05-11,"Yearling",1999,"51-150"
"1448","Hunger","Knut Hamsun/George Egerton",4.05,"9780486431680","eng",134,28153,1372,2003-11-17,"Dover Publications",2003,"51-150"
"1449","Proof of Concept","Larry Young/Damian Couceiro/Kieron Dwyer",3,"9781932051292","eng",134,6,1,2005-01-18,"AIT Planet Lar",2005,"51-150"
"1450","Taking Sides (Sweet Valley High  #31)","Francine Pascal/Kate William",3.38,"9780553258868","en-GB",134,813,23,1986-09-01,"Bantam Books",1986,"51-150"
"1451","Afterglow: A Last Conversation With Pauline Kael","Francis Davis/Pauline Kael",3.69,"9780306812309","eng",134,128,15,2003-08-21,"Da Capo Press",2003,"51-150"
"1452","The Coming Storm (Pirates of the Caribbean: Jack Sparrow  #1)","Rob Kidd/Jean-Paul Orpinas",3.83,"9781423100188","en-US",135,1414,82,2006-06-01,"Disney Press",2006,"51-150"
"1453","Blubberina (Scrambled Legs  #5)","Jahnna N. Malcolm",3.29,"9780590428880","eng",135,13,0,1989-10-01,"Scholastic",1989,"51-150"
"1454","The Southern Haunting of Truman Capote","James C.    Simmons/Marie Rudisill",3.9,"9781581821369","eng",135,29,3,2000-10-01,"Cumberland House Publishing",2000,"51-150"
"1455","The spire  William Golding : notes","Steve Eddy",3.6,"9781405835640","eng",135,594,35,2006-10-01,"York Press",2006,"51-150"
"1456","Utopia","Thomas More/Paul Turner",3.53,"9780140449105","eng",135,45460,1731,2003-05-06,"Penguin Classics",2003,"51-150"
"1457","Tales of Mystery and Madness","Edgar Allan Poe/Gris Grimly",4.34,"9780689848377","eng",135,2226,139,2011-08-30,"Atheneum",2011,"51-150"
"1458","Syntactic Structures","Noam Chomsky/David W. Lightfoot",3.84,"9783110172799","eng",135,609,31,2012-09-10,"Walter de Gruyter",2012,"51-150"
"1459","Goodbye Forever (Sweet Dreams  #72)","Barbara Conklin",3.76,"9780553243567","eng",135,56,0,1984-12-31,"Bantam Books",1984,"51-150"
"1460","Borges and The Eternal Orangutans","Luis Fernando Verissimo/Margaret Jull Costa",3.81,"9780811215923","eng",135,567,80,2005-05-17,"New Directions",2005,"51-150"
"1461","The Engagement","Georges Simenon/Anna Moschovakis/John N. Gray",3.75,"9781590172285","en-US",135,494,67,2007-03-06,"New York Review of Books",2007,"51-150"
"1462","City Eclogue","Ed Roberson",4.13,"9781891190230","eng",136,67,7,2006-01-30,"Atelos Press",2006,"51-150"
"1463","The Lives of Animals","J.M. Coetzee/Amy Gutmann/Peter Singer/Wendy Doniger/Barbara Smuts/Marjorie Garber",3.69,"9780691070896","eng",136,1930,139,2001-05-06,"Princeton University Press",2001,"51-150"
"1464","I'm Telling You Stories: Jeanette Winterson and the Politics of Reading (Postmodern Studies 25)","Helena Grice/Tim Woods",3.7,"9789042003408","eng",136,10,2,1998-01-01,"Brill/Rodopi",1998,"51-150"
"1465","Fantastic Four  Vol 5: Disassembled","Mark Waid/Paco Medina",3.28,"9780785115366","eng",136,192,13,2005-01-01,"Marvel Comics Group",2005,"51-150"
"1466","Sarah Bernhardt","Elizabeth Silverthorne/Betty McCollum",4.25,"9780791074589","eng",136,4,0,2004-01-01,"Chelsea House Publishers",2004,"51-150"
"1467","Kafka: Toward a Minor Literature","Gilles Deleuze/Félix Guattari/Franz Kafka",4.17,"9780816615155","eng",136,1287,45,1986-10-31,"Univ Of Minnesota Press",1986,"51-150"
"1468","Leaving the 20th Century: The Incomplete Work of the Situationist International","Chris Gray/Larry  Law",4.1,"9780946061150","eng",136,30,2,1998-04-20,"Rebel Press",1998,"51-150"
"1469","Am I That Name?: Feminism And The Category Of Women In History","Denise Riley",3.64,"9780816642694","eng",136,60,7,2003-07-22,"Univ Of Minnesota Press",2003,"51-150"
"1470","The Walking Dead  Vol. 5: The Best Defense","Robert Kirkman/Charlie Adlard/Cliff Rathburn",4.29,"9781582406121","eng",136,21435,841,2009-04-21,"Image Comics",2009,"51-150"
